Approximately 675 Pokemon Available under: 'Default', 'have_roamers', 'have_family'
  
Type Data:
  
0 Pokemon which Types include: Crystal
2 Pokemon which Types include: Wind
27 Pokemon which Types include: Fairy
30 Pokemon which Types include: Steel
35 Pokemon which Types include: Dragon
35 Pokemon which Types include: Fighting
35 Pokemon which Types include: Ice
38 Pokemon which Types include: Electric
43 Pokemon which Types include: Dark
44 Pokemon which Types include: Ghost
47 Pokemon which Types include: Fire
52 Pokemon which Types include: Rock
57 Pokemon which Types include: Poison
61 Pokemon which Types include: Ground
66 Pokemon which Types include: Psychic
68 Pokemon which Types include: Bug
85 Pokemon which Types include: Grass
87 Pokemon which Types include: Normal
88 Pokemon which Types include: Flying
118 Pokemon which Types include: Water
  
List of Available Species:
Clefable - Normal Form
Clefairy - Normal Form
Cleffa - Normal Form
Cloyster - Normal Form
Coalossal - Normal Form
Cofagrigus - Normal Form
Coinpur - Normal Form
Combee - Normal Form
Combusken - Normal Form
Conkeldurr - Normal Form
Corphish - Normal Form
Corsola - Johtonian Form
Corviknight - Normal Form
Corvisquire - Normal Form
Cottonee - Normal Form
Cradily - Normal Form
Crawdaunt - Normal Form
Croagunk - Normal Form
Crobat - Normal Form
Croconaw - Normal Form
Crustle - Normal Form
Cryogonal - Normal Form
Cubchoo - Normal Form
Cubone - Normal Form
Cursola - Normal Form
Cutiefly - Normal Form
Cyndaquil - Normal Form
Darkrai - Normal Form
Darmanitan - Standard Mode
Dartrix - Normal Form
Darumaka - Galarian Form
Darumaka - Normal Form
Decidueye - Normal Form
Dedenne - Normal Form
Deerling - Spring Form
Deino - Normal Form
Delibird - Normal Form
Deoxys - Normal Forme
Dewgong - Normal Form
Dewott - Normal Form
Dewpider - Normal Form
Diggersby - Normal Form
Diglett - Kantonian Form
Dodaerie - Normal Form
Dodrio - Normal Form
Doduo - Normal Form
Donphan - Normal Form
Doublade - Normal Form
Dragalge - Normal Form
Dragapult - Normal Form
Dragonair - Normal Form
Dragonite - Normal Form
Drakloak - Normal Form
Drampa - Normal Form
Drapion - Normal Form
Dratini - Normal Form
Drednaw - Normal Form
Dreepy - Normal Form
Drifblim - Normal Form
Drifloon - Normal Form
Drilbur - Normal Form
Drowzee - Normal Form
Dubwool - Normal Form
Ducklett - Normal Form
Dugtrio - Kantonian Form
Dunsparce - Normal Form
Durant - Normal Form
Dusclops - Normal Form
Dusknoir - Normal Form
Duskull - Normal Form
Dustox - Normal Form
Dwebble - Normal Form
Eelektrik - Normal Form
Eelektross - Normal Form
Eevee - Normal Form
Ekans - Normal Form
Electrike - Normal Form
Electrode - Normal Form
Elgyem - Normal Form
Emolga - Normal Form
Empoleon - Normal Form
Entei - Normal Form
Escavalier - Normal Form
Espeon - Normal Form
Espurr - Normal Form
Excadrill - Normal Form
Exploud - Normal Form
Falinks - Normal Form
Farfetch'd - Kantonian Form
Fearow - Normal Form
Feebas - Normal Form
Feraligatr - Normal Form
Flaaffy - Normal Form
Flareon - Normal Form
Fletchinder - Normal Form
Fletchling - Normal Form
Floatzel - Normal Form
Flygon - Normal Form
Forretress - Normal Form
Fraxure - Normal Form
Frillish - Normal Form
Froakie - Normal Form
Frogadier - Normal Form
Froslass - Normal Form
Frosmoth - Normal Form
Furret - Normal Form
Gabite - Normal Form
Gallade - Normal Form
Galvantula - Normal Form
Garchomp - Normal Form
Gardevoir - Normal Form
Gastly - Normal Form
Gastrodon - West Sea
Gengar - Normal Form
Geodude - Kantonian Form
Gible - Normal Form
Girafarig - Normal Form
Glaceon - Normal Form
Glalie - Normal Form
Gligar - Normal Form
Gliscor - Normal Form
Gloom - Normal Form
Gogoat - Normal Form
Golbat - Normal Form
Goldeen - Normal Form
Golduck - Normal Form
Golem - Kantonian Form
Golett - Normal Form
Golisopod - Normal Form
Golurk - Normal Form
Goodra - Normal Form
Goomy - Normal Form
Gorebyss - Normal Form
Gothita - Normal Form
Gothitelle - Normal Form
Gothorita - Normal Form
Gourgeist - Average Size
Graveler - Kantonian Form
Greninja - Normal Form
Grimer - Kantonian Form
Grookey - Normal Form
Grotle - Normal Form
Grovyle - Normal Form
Growlithe - Normal Form
Grubbin - Normal Form
Grumpig - Normal Form
Gulpin - Normal Form
Gumshoos - Normal Form
Gurdurr - Normal Form
Gyarados - Normal Form
Happiny - Normal Form
Hariyama - Normal Form
Hatenna - Normal Form
Hatterene - Normal Form
Hattrem - Normal Form
Haunter - Normal Form
Hawlucha - Normal Form
Haxorus - Normal Form
Heatmor - Normal Form
Heliolisk - Normal Form
Helioptile - Normal Form
Heracross - Normal Form
Herdier - Normal Form
Hippopotas - Normal Form
Hippowdon - Normal Form
Hitmonchan - Normal Form
Hitmonlee - Normal Form
Hitmontop - Normal Form
Ho-Oh - Normal Form
Honchkrow - Normal Form
Honedge - Normal Form
Hoppip - Normal Form
Horsea - Normal Form
Houndoom - Normal Form
Houndour - Normal Form
Huntail - Normal Form
Hydreigon - Normal Form
Hypno - Normal Form
Igglybuff - Normal Form
Illumise - Normal Form
Inkay - Normal Form
Ivysaur - Normal Form
Jellicent - Normal Form
Jigglypuff - Normal Form
Jolteon - Normal Form
Joltik - Normal Form
Jumpluff - Normal Form
Jungela - Normal Form
Jynx - Normal Form
Kabuto - Normal Form
Kabutops - Normal Form
Kadabra - Normal Form
Kakuna - Normal Form
Kangaskhan - Normal Form
Karrablast - Normal Form
Kingdra - Normal Form
Kingler - Normal Form
Kirlia - Normal Form
Kleavor - Normal Form
Koffing - Normal Form
Kolta - Normal Form
Komala - Normal Form
Krabby - Normal Form
Krokorok - Normal Form
Krookodile - Normal Form
Kyurem - Kyurem
Lairon - Normal Form
Lampent - Normal Form
Lanturn - Normal Form
Lapras - Normal Form
Larvesta - Normal Form
Larvitar - Normal Form
Latias - Normal Form
Latios - Normal Form
Leafeon - Normal Form
Leavanny - Normal Form
Lickilicky - Normal Form
Lickitung - Normal Form
Liepard - Normal Form
Lileep - Normal Form
Lilligant - Normal Form
Lillipup - Normal Form
Linoone - Hoennian Form
Litwick - Normal Form
Lombre - Normal Form
Lotad - Normal Form
Loudred - Normal Form
Lucario - Normal Form
Ludicolo - Normal Form
Lugia - Normal Form
Lunatone - Normal Form
Luvdisc - Normal Form
Luxwan - Normal Form
Lycanroc - Midday Form
Lycanroc - Midnight Form
Machamp - Normal Form
Machoke - Normal Form
Machop - Normal Form
Magby - Normal Form
Magcargo - Normal Form
Magikarp - Normal Form
Magmar - Normal Form
Magmortar - Normal Form
Magnemite - Normal Form
Magneton - Normal Form
Magnezone - Normal Form
Makuhita - Normal Form
Malamar - Normal Form
Mamoswine - Normal Form
Mandibuzz - Normal Form
Manectric - Normal Form
Mankey - Normal Form
Mantine - Normal Form
Mantyke - Normal Form
Mareanie - Normal Form
Mareep - Normal Form
Marill - Normal Form
Marowak - Kantonian Form
Marshtomp - Normal Form
Masquerain - Normal Form
Mawile - Normal Form
Medicham - Normal Form
Meditite - Normal Form
Meganium - Normal Form
Meowstic - Male
Meowth - Kantonian Form
Mesprit - Normal Form
Metagross - Normal Form
Metang - Normal Form
Metapod - Normal Form
Mightyena - Normal Form
Milotic - Normal Form
Miltank - Normal Form
Mime Jr. - Normal Form
Mimikyu - Disguised Form
Minccino - Normal Form
Minior - Meteor Form
Minun - Normal Form
Misdreavus - Normal Form
Mismagius - Normal Form
Mothim - Normal Form
Mr. Mime - Normal Form
Mr. Rime - Normal Form
Mudbray - Normal Form
Mudkip - Normal Form
Mudsdale - Normal Form
Muk - Kantonian Form
Munchlax - Normal Form
Munna - Normal Form
Murkrow - Normal Form
Musharna - Normal Form
Natu - Normal Form
Nidoking - Normal Form
Nidoqueen - Normal Form
Nidoran♀ - Normal Form
Nidoran♂ - Normal Form
Nidorina - Normal Form
Nidorino - Normal Form
Ninetales - Kantonian Form
Noibat - Normal Form
Noivern - Normal Form
Nosepass - Normal Form
Numel - Normal Form
Nuzleaf - Normal Form
Obstagoon - Normal Form
Octillery - Normal Form
Oddish - Normal Form
Omanyte - Normal Form
Omastar - Normal Form
Onix - Normal Form
Oricorio - Baile Style
Oshawott - Normal Form
Overqwil - Normal Form
Pachirisu - Normal Form
Palossand - Normal Form
Palpitoad - Normal Form
Panpour - Normal Form
Pansage - Normal Form
Paras - Normal Form
Parasect - Normal Form
Paraspor - Normal Form
Patrat - Normal Form
Pelipper - Normal Form
Perrserker - Normal Form
Persian - Kantonian Form
Petilil - Normal Form
Phanpy - Normal Form
Phantump - Normal Form
Pichu - Normal Form
Pidgeot - Normal Form
Pidgeotto - Normal Form
Pidgey - Normal Form
Pidove - Normal Form
Pikachu - Normal Form
Pikipek - Normal Form
Piloswine - Normal Form
Pineco - Normal Form
Pinsir - Normal Form
Piplup - Normal Form
Plusle - Normal Form
Politoed - Normal Form
Poliwag - Normal Form
Poliwhirl - Normal Form
Poliwrath - Normal Form
Polteageist - Normal Form
Ponyta - Kantonian Form
Poochyena - Normal Form
Popplio - Normal Form
Primarina - Normal Form
Primeape - Normal Form
Prinplup - Normal Form
Probopass - Normal Form
Psyduck - Normal Form
Pumpkaboo - Average Size
Pupitar - Normal Form
Pupperon - Normal Form
Purrloin - Normal Form
Quagsire - Normal Form
Quilava - Normal Form
Quilladin - Normal Form
Qwilfish - Normal Form
Raichu - Kantonian Form
Raikou - Normal Form
Ralts - Normal Form
Rapidash - Kantonian Form
Raticate - Kantonian Form
Rattata - Alolan Form
Rattata - Kantonian Form
Remoraid - Normal Form
Reshiram - Normal Form
Rhydon - Normal Form
Rhyhorn - Normal Form
Rhyperior - Normal Form
Ribombee - Normal Form
Rillaboom - Normal Form
Riolu - Normal Form
Rockruff - Normal Form
Rolycoly - Normal Form
Rookidee - Normal Form
Roselia - Normal Form
Roserade - Normal Form
Rowlet - Normal Form
Rufflet - Normal Form
Runerigus - Normal Form
Sableye - Normal Form
Salamence - Normal Form
Samurott - Normal Form
Sandile - Normal Form
Sandshrew - Alolan Form
Sandshrew - Kantonian Form
Sandslash - Kantonian Form
Sandygast - Normal Form
Sawsbuck - Spring Form
Scatterbug - Normal Form
Sceptile - Normal Form
Scizor - Normal Form
Scrafty - Normal Form
Scraggy - Normal Form
Scyther - Normal Form
Seadra - Normal Form
Seaking - Normal Form
Sealeo - Normal Form
Seedot - Normal Form
Seel - Normal Form
Seismitoad - Normal Form
Sentret - Normal Form
Serperior - Normal Form
Servine - Normal Form
Seviper - Normal Form
Sewaddle - Normal Form
Sharpedo - Normal Form
Shelgon - Normal Form
Shellder - Normal Form
Shellos - West Sea
Shelmet - Normal Form
Shieldon - Normal Form
Shiftry - Normal Form
Shroomish - Normal Form
Shuckle - Normal Form
Shuppet - Normal Form
Sigilyph - Normal Form
Silcoon - Normal Form
Simipour - Normal Form
Simisage - Normal Form
Sinistea - Phony Form
Sirfetch'd - Normal Form
Skiddo - Normal Form
Skiploom - Normal Form
Skorupi - Normal Form
Skrelp - Normal Form
Skuntank - Normal Form
Sliggoo - Normal Form
Slowbro - Kantonian Form
Slowking - Johtonian Form
Slowpoke - Kantonian Form
Slugma - Normal Form
Smeargle - Normal Form
Smoochum - Normal Form
Smujj - Normal Form
Sneasel - Normal Form
Sneasler - Normal Form
Snivy - Normal Form
Snom - Normal Form
Snorlax - Normal Form
Snorunt - Normal Form
Solrock - Normal Form
Spearow - Normal Form
Spewpa - Normal Form
Spheal - Normal Form
Spinarak - Normal Form
Spiritomb - Normal Form
Spoink - Normal Form
Squirtle - Normal Form
Stantler - Normal Form
Staraptor - Normal Form
Staravia - Normal Form
Starly - Normal Form
Starmie - Normal Form
Staryu - Normal Form
Steelix - Normal Form
Steenee - Normal Form
Stoutland - Normal Form
Stufful - Normal Form
Stunfisk - Normal Form
Stunky - Normal Form
Sudowoodo - Normal Form
Suicune - Normal Form
Sunflora - Normal Form
Sunkern - Normal Form
Surskit - Normal Form
Swablu - Normal Form
Swadloon - Normal Form
Swalot - Normal Form
Swampert - Normal Form
Swanna - Normal Form
Swellow - Normal Form
Swinub - Normal Form
Swoobat - Normal Form
Sylveon - Normal Form
Taillow - Normal Form
Talonflame - Normal Form
Tangela - Normal Form
Tangrowth - Normal Form
Tauros - Normal Form
Teddiursa - Normal Form
Tentacool - Normal Form
Tentacruel - Normal Form
Thwackey - Normal Form
Timburr - Normal Form
Tirtouga - Normal Form
Togedemaru - Normal Form
Togekiss - Normal Form
Togepi - Normal Form
Togetic - Normal Form
Torchic - Normal Form
Torkoal - Normal Form
Torterra - Normal Form
Totodile - Normal Form
Toucannon - Normal Form
Toxapex - Normal Form
Toxicroak - Normal Form
Tranquill - Normal Form
Trapinch - Normal Form
Treecko - Normal Form
Trevenant - Normal Form
Tropius - Normal Form
Trumbeak - Normal Form
Tsareena - Normal Form
Turtwig - Normal Form
Tympole - Normal Form
Tynamo - Normal Form
Typhlosion - Normal Form
Tyranitar - Normal Form
Tyrogue - Normal Form
Umbreon - Normal Form
Unfezant - Normal Form
Ursaluna - Normal Form
Ursaring - Normal Form
Uxie - Normal Form
Vanillish - Normal Form
Vanillite - Normal Form
Vanilluxe - Normal Form
Vaporeon - Normal Form
Venomoth - Normal Form
Venonat - Normal Form
Venusaur - Normal Form
Vespiquen - Normal Form
Vibrava - Normal Form
Victini - Normal Form
Victreebel - Normal Form
Vikavolt - Normal Form
Vileplume - Normal Form
Vivillon - Icy Snow Pattern,Polar Pattern,Tundra Pattern,Continental Pattern,Garden Pattern,Elegant Pattern,Meadow Pattern,Modern Pattern,Marine Pattern,High Plains Pattern,Sandstorm Pattern,River Pattern,Monsoon Pattern,Savanna Pattern,Sun Pattern,Ocean Pattern,Jungle Pattern,Fancy Pattern,Poké Ball Pattern
Volbeat - Normal Form
Volcarona - Normal Form
Voltorb - Normal Form
Vullaby - Normal Form
Vulpiii - Normal Form
Vulpix - Alolan Form
Vulpix - Kantonian Form
Vulrecur - Normal Form
Wailmer - Normal Form
Wailord - Normal Form
Walrein - Normal Form
Wartortle - Normal Form
Watchog - Normal Form
Weavile - Normal Form
Weedle - Normal Form
Weepinbell - Normal Form
Weezing - Kantonian Form
Whimsicott - Normal Form
Whismur - Normal Form
Wigglytuff - Normal Form
Wimpod - Normal Form
Wingull - Normal Form
Wishiwashi - Solo Form
Wobbuffet - Normal Form
Woobat - Normal Form
Wooloo - Normal Form
Wooper - Normal Form
Wormadam - Plant Cloak
Wurmple - Normal Form
Wynaut - Normal Form
Wyrdeer - Normal Form
Xatu - Normal Form
Yamask - Normal Form
Yamper - Normal Form
Yanma - Normal Form
Yanmega - Normal Form
Yungoos - Normal Form
Zangoose - Normal Form
Zebstrika - Normal Form
Zekrom - Normal Form
Zigzagoon - Hoennian Form
Zoroark - Normal Form
Zorua - Normal Form
Zubat - Normal Form
Zweilous - Normal Form
Zygarde - Zygarde 50% Forme
  
Move Data:
  
9999 No Pokemon have Shadow Shed has it is a Shadow Move.
9999 No Pokemon have Shadow Break has it is a Shadow Move.
9999 No Pokemon have Shadow Sky has it is a Shadow Move.
9999 No Pokemon have Shadow Panic has it is a Shadow Move.
9999 No Pokemon have Shadow Wave has it is a Shadow Move.
9999 No Pokemon have Shadow Mist has it is a Shadow Move.
9999 No Pokemon have Shadow Hold has it is a Shadow Move.
9999 No Pokemon have Shadow Half has it is a Shadow Move.
9999 No Pokemon have Shadow End has it is a Shadow Move.
9999 No Pokemon have Shadow Storm has it is a Shadow Move.
9999 No Pokemon have Shadow Down has it is a Shadow Move.
9999 No Pokemon have Shadow Blast has it is a Shadow Move.
9999 No Pokemon have Shadow Bolt has it is a Shadow Move.
9999 No Pokemon have Shadow Blitz has it is a Shadow Move.
9999 No Pokemon have Shadow Chill has it is a Shadow Move.
9999 No Pokemon have Shadow Fire has it is a Shadow Move.
9999 No Pokemon have Shadow Rave has it is a Shadow Move.
9999 No Pokemon have Shadow Rush has it is a Shadow Move.
227 Pokemon which have Move: Tackle
153 Pokemon which have Move: Growl
149 Pokemon which have Move: Leer
134 Pokemon which have Move: Bite
108 Pokemon which have Move: Quick Attack
108 Pokemon which have Move: Crunch
106 Pokemon which have Move: Take Down
103 Pokemon which have Move: Water Gun
89 Pokemon which have Move: Double-Edge
83 Pokemon which have Move: Agility
82 Pokemon which have Move: Scary Face
80 Pokemon which have Move: Slash
78 Pokemon which have Move: Sand Attack
77 Pokemon which have Move: Tail Whip
76 Pokemon which have Move: Screech
73 Pokemon which have Move: Hydro Pump
71 Pokemon which have Move: Astonish
70 Pokemon which have Move: Protect
67 Pokemon which have Move: Focus Energy
66 Pokemon which have Move: Confusion
64 Pokemon which have Move: Absorb
61 Pokemon which have Move: Scratch
60 Pokemon which have Move: Flail
58 Pokemon which have Move: Charm
56 Pokemon which have Move: Psychic
56 Pokemon which have Move: Pound
56 Pokemon which have Move: Helping Hand
55 Pokemon which have Move: Harden
55 Pokemon which have Move: Sucker Punch
54 Pokemon which have Move: Swords Dance
54 Pokemon which have Move: Confuse Ray
52 Pokemon which have Move: Water Pulse
52 Pokemon which have Move: Iron Defense
51 Pokemon which have Move: Headbutt
51 Pokemon which have Move: Ember
50 Pokemon which have Move: Psybeam
50 Pokemon which have Move: Ancient Power
50 Pokemon which have Move: Slam
48 Pokemon which have Move: Giga Drain
47 Pokemon which have Move: Mega Drain
47 Pokemon which have Move: Taunt
46 Pokemon which have Move: Fury Swipes
46 Pokemon which have Move: Rain Dance
45 Pokemon which have Move: Air Slash
45 Pokemon which have Move: Thrash
45 Pokemon which have Move: Growth
45 Pokemon which have Move: Peck
44 Pokemon which have Move: Nasty Plot
44 Pokemon which have Move: Earthquake
44 Pokemon which have Move: Defense Curl
44 Pokemon which have Move: Supersonic
43 Pokemon which have Move: Razor Leaf
42 Pokemon which have Move: Bug Bite
42 Pokemon which have Move: Body Slam
42 Pokemon which have Move: Swagger
42 Pokemon which have Move: Leech Seed
41 Pokemon which have Move: Curse
40 Pokemon which have Move: Bubble Beam
39 Pokemon which have Move: Double Team
39 Pokemon which have Move: Mud-Slap
39 Pokemon which have Move: Zen Headbutt
38 Pokemon which have Move: Endeavor
38 Pokemon which have Move: Rock Slide
38 Pokemon which have Move: Amnesia
38 Pokemon which have Move: Safeguard
38 Pokemon which have Move: Knock Off
38 Pokemon which have Move: Rest
37 Pokemon which have Move: Gust
37 Pokemon which have Move: Stun Spore
37 Pokemon which have Move: Fury Cutter
37 Pokemon which have Move: Assurance
36 Pokemon which have Move: Aqua Tail
36 Pokemon which have Move: Payback
36 Pokemon which have Move: Toxic
35 Pokemon which have Move: Hypnosis
35 Pokemon which have Move: Disable
35 Pokemon which have Move: Dragon Breath
35 Pokemon which have Move: Thunder Wave
35 Pokemon which have Move: Flamethrower
35 Pokemon which have Move: Swift
34 Pokemon which have Move: Discharge
34 Pokemon which have Move: Poison Sting
34 Pokemon which have Move: Roar
34 Pokemon which have Move: Poison Powder
33 Pokemon which have Move: Shadow Ball
33 Pokemon which have Move: Brine
33 Pokemon which have Move: Tailwind
33 Pokemon which have Move: Copycat
33 Pokemon which have Move: Future Sight
32 Pokemon which have Move: Hex
32 Pokemon which have Move: Wing Attack
32 Pokemon which have Move: Sandstorm
32 Pokemon which have Move: Yawn
32 Pokemon which have Move: Light Screen
32 Pokemon which have Move: Rollout
32 Pokemon which have Move: Sweet Scent
31 Pokemon which have Move: Encore
31 Pokemon which have Move: Night Slash
31 Pokemon which have Move: Baton Pass
31 Pokemon which have Move: Icy Wind
30 Pokemon which have Move: Hone Claws
30 Pokemon which have Move: Synthesis
30 Pokemon which have Move: Bug Buzz
30 Pokemon which have Move: Dragon Pulse
30 Pokemon which have Move: Last Resort
29 Pokemon which have Move: Imprison
29 Pokemon which have Move: Earth Power
29 Pokemon which have Move: Covet
29 Pokemon which have Move: Ice Fang
29 Pokemon which have Move: Bulldoze
29 Pokemon which have Move: Dig
29 Pokemon which have Move: Blizzard
29 Pokemon which have Move: Hyper Voice
29 Pokemon which have Move: Mist
29 Pokemon which have Move: Recover
28 Pokemon which have Move: Night Shade
28 Pokemon which have Move: Smokescreen
28 Pokemon which have Move: Uproar
28 Pokemon which have Move: Stone Edge
28 Pokemon which have Move: Endure
28 Pokemon which have Move: Rock Throw
28 Pokemon which have Move: Rapid Spin
28 Pokemon which have Move: Wrap
27 Pokemon which have Move: Roost
27 Pokemon which have Move: Fury Attack
27 Pokemon which have Move: Aerial Ace
27 Pokemon which have Move: Vine Whip
26 Pokemon which have Move: X-Scissor
26 Pokemon which have Move: Feint
26 Pokemon which have Move: Stomp
26 Pokemon which have Move: Calm Mind
26 Pokemon which have Move: Charge
26 Pokemon which have Move: Disarming Voice
26 Pokemon which have Move: Reversal
26 Pokemon which have Move: Inferno
26 Pokemon which have Move: Spark
25 Pokemon which have Move: Aromatherapy
25 Pokemon which have Move: Superpower
25 Pokemon which have Move: Bounce
25 Pokemon which have Move: Hammer Arm
25 Pokemon which have Move: Mud Shot
25 Pokemon which have Move: Pursuit
25 Pokemon which have Move: Whirlwind
25 Pokemon which have Move: Baby-Doll Eyes
25 Pokemon which have Move: Aqua Jet
24 Pokemon which have Move: Double Hit
24 Pokemon which have Move: Detect
24 Pokemon which have Move: Destiny Bond
24 Pokemon which have Move: Fire Fang
23 Pokemon which have Move: Explosion
23 Pokemon which have Move: Withdraw
23 Pokemon which have Move: Outrage
23 Pokemon which have Move: Splash
23 Pokemon which have Move: Aqua Ring
23 Pokemon which have Move: Extrasensory
23 Pokemon which have Move: Counter
23 Pokemon which have Move: Sleep Powder
23 Pokemon which have Move: Play Rough
23 Pokemon which have Move: Metal Claw
23 Pokemon which have Move: Play Nice
23 Pokemon which have Move: Powder Snow
22 Pokemon which have Move: Brave Bird
22 Pokemon which have Move: Rock Blast
22 Pokemon which have Move: Hyper Beam
22 Pokemon which have Move: Lick
22 Pokemon which have Move: Leaf Storm
22 Pokemon which have Move: Haze
22 Pokemon which have Move: Feint Attack
22 Pokemon which have Move: Smack Down
22 Pokemon which have Move: Mean Look
21 Pokemon which have Move: Shell Smash
21 Pokemon which have Move: Pin Missile
21 Pokemon which have Move: Memento
21 Pokemon which have Move: Fling
21 Pokemon which have Move: Stockpile
21 Pokemon which have Move: Heavy Slam
21 Pokemon which have Move: Acid
21 Pokemon which have Move: Pluck
21 Pokemon which have Move: Feather Dance
20 Pokemon which have Move: Flare Blitz
20 Pokemon which have Move: Thunder Shock
20 Pokemon which have Move: Spite
20 Pokemon which have Move: Flame Charge
20 Pokemon which have Move: Hail
20 Pokemon which have Move: Sunny Day
20 Pokemon which have Move: Hurricane
20 Pokemon which have Move: Poison Jab
20 Pokemon which have Move: Metal Sound
20 Pokemon which have Move: Life Dew
20 Pokemon which have Move: Power Gem
20 Pokemon which have Move: Double Kick
20 Pokemon which have Move: Surf
20 Pokemon which have Move: Swallow
20 Pokemon which have Move: Fake Out
19 Pokemon which have Move: Worry Seed
19 Pokemon which have Move: Quiver Dance
19 Pokemon which have Move: Bind
19 Pokemon which have Move: Spit Up
19 Pokemon which have Move: Water Sport
19 Pokemon which have Move: Shadow Sneak
19 Pokemon which have Move: Gastro Acid
19 Pokemon which have Move: Psych Up
19 Pokemon which have Move: Echoed Voice
19 Pokemon which have Move: Moonblast
19 Pokemon which have Move: Sing
19 Pokemon which have Move: Fire Spin
19 Pokemon which have Move: Sweet Kiss
19 Pokemon which have Move: Quick Guard
18 Pokemon which have Move: Struggle Bug
18 Pokemon which have Move: Sand Tomb
18 Pokemon which have Move: Solar Beam
18 Pokemon which have Move: Howl
18 Pokemon which have Move: Low Kick
18 Pokemon which have Move: Dark Pulse
18 Pokemon which have Move: Rock Polish
17 Pokemon which have Move: Heal Pulse
17 Pokemon which have Move: Revenge
17 Pokemon which have Move: Self-Destruct
17 Pokemon which have Move: Leaf Blade
17 Pokemon which have Move: Muddy Water
17 Pokemon which have Move: Electro Ball
17 Pokemon which have Move: Gyro Ball
17 Pokemon which have Move: Whirlpool
17 Pokemon which have Move: String Shot
17 Pokemon which have Move: Close Combat
17 Pokemon which have Move: Thunder Fang
17 Pokemon which have Move: Rock Smash
17 Pokemon which have Move: Laser Focus
17 Pokemon which have Move: Iron Head
17 Pokemon which have Move: Thunder
17 Pokemon which have Move: Air Cutter
17 Pokemon which have Move: Fire Blast
17 Pokemon which have Move: Will-O-Wisp
17 Pokemon which have Move: Toxic Spikes
17 Pokemon which have Move: False Swipe
17 Pokemon which have Move: Energy Ball
16 Pokemon which have Move: Sheer Cold
16 Pokemon which have Move: Seed Bomb
16 Pokemon which have Move: Flame Wheel
16 Pokemon which have Move: Ice Beam
16 Pokemon which have Move: Belly Drum
16 Pokemon which have Move: Mirror Coat
16 Pokemon which have Move: Magical Leaf
16 Pokemon which have Move: Dragon Claw
16 Pokemon which have Move: Minimize
16 Pokemon which have Move: Wide Guard
16 Pokemon which have Move: Fake Tears
16 Pokemon which have Move: Belch
